
Power station,# Units,Net Capacity (MWe),Country,Location,Refs
Fangchenggang Nuclear Power Plant,1,1,000[note 8], China,21°40′36″N 108°33′38″E,
Fangjiashan Nuclear Power Plant,2,2,000, China,30°26′29″N 120°56′30″E,
Fessenheim Nuclear Power Plant,2,1,760, France,47°54′11″N 07°33′47″E,[1]
Flamanville Nuclear Power Plant,2,2,660[note 9], France,49°32′11″N 01°52′54″W,[1]
Forsmark Nuclear Power Plant,3,3,138, Sweden,60°24′12″N 18°10′00″E, 
Fukushima Daini,4,4,400, Japan,37°19′10″N 141°01′16″E,[5]
Fuqing Nuclear Power Plant,3,3,000[note 10], China,25°26′39″N 119°26′46″E, 
Genkai Nuclear Power Plant,3,2,783[note 11], Japan,33°30′56″N 129°50′14″E,[5][6]
Golfech Nuclear Power Plant,2,2,620, France,44°06′24″N 00°50′43″E,[1]
Grand Gulf Nuclear Generating Station,1,1,266, United States,32°0′24″N 91°2′54″W, 
Gravelines,6,5,460, France,51°00′55″N 02°08′10″E,[1]
Grohnde Nuclear Power Plant,1,1,360, Germany,52°02′07″N 09°24′48″E, 
Gundremmingen Nuclear Power Plant,2,1,972[note 12], Germany,48°30′53″N 10°24′08″E, 
Hamaoka Nuclear Power Plant,3,3,473[note 13], Japan,34°37′25″N 138°08′33″E,[5]
Hanbit Nuclear Power Station,6,5,875, South Korea,35°24′54″N 126°25′26″E,[7]
Hanul Nuclear Power Plant,6,5,881, South Korea,37°5′34″N 129°23′1″E,[7]
Hartlepool nuclear power station,2,1,190, United Kingdom,54°38′06″N 01°10′51″W, 
Heysham nuclear power station,4,2,400, United Kingdom,54°01′44″N 02°54′58″W, 
Higashidōri Nuclear Power Plant,1,1,067, Japan,41°11′17″N 141°23′25″E,[5]
Hongyanhe Nuclear Power Plant,4,4,122[note 14], China,39°47′52″N 121°28′19″E,[4]
Hope Creek Nuclear Generating Station,1,1,191, United States,39°28′04″N 75°32′17″W, 
Ikata Nuclear Power Plant,3,1,922, Japan,33°29′27″N 132°18′41″E,[5]
Indian Point Energy Center,2,2,062[note 15], United States,41°16′11″N 73°57′08″W, 
Isar Nuclear Power Plant,2,1,410[note 16], Germany,48°36′20″N 12°17′35″E, 
Joseph M. Farley Nuclear Generating Station,2,1,711, United States,31°13′23″N 85°06′42″W, 
Kalinin Nuclear Power Plant,4,3,800, Russia,57°54′20″N 35°03′37″E, 
Kashiwazaki-Kariwa Nuclear Power Plant,7,7,965[note 17], Japan,37°25′45″N 138°35′43″E,[5][8]
Khmelnitskiy Nuclear Power Plant,2,1,900[note 18], Ukraine,50°18′5″N 26°38′59″E, 
Koeberg Nuclear Power Station,2,1,830, South Africa,33°40′35″S 18°25′55″E, 
Kola Nuclear Power Plant,4,1,644, Russia,67°28′00″N 32°28′00″E, 
Kori Nuclear Power Plant,4,3,239, South Korea,35°19′01″N 129°18′00″E, 
Kozloduy Nuclear Power Plant,2,1,906[note 19], Bulgaria,43°44′46″N 23°46′14″E, 
Kuosheng Nuclear Power Plant,2,1,933, Taiwan,25°12′11″N 121°39′46″E,[3]
Kudankulam Nuclear Power Plant,2,1,834, India,8°10′06″N 77°42′45″E, 
Kursk Nuclear Power Plant,4,3,700, Russia,51°40′30″N 35°36′20″E, 
Laguna Verde Nuclear Power Station,2,1,300, Mexico,19°43′15″N 96°24′23″W, 
LaSalle County Nuclear Generating Station,2,2,238, United States,41°14′44″N 88°40′9″W, 
Leibstadt Nuclear Power Plant,1,1,190,  Switzerland,47°36′11″N 08°11′05″E, 
Lemoniz Nuclear Power Plant,2,1,800, Spain,43°26′00″N 02°52′21″W, 
Leningrad Nuclear Power Plant,4,3,700, Russia,59°50′50″N 29°02′37″E, 
Limerick Nuclear Power Plant,2,2,264, United States,40°13′36″N 75°35′14″W, 
Ling Ao Nuclear Power Plant,4,3,876, China,22°36′17″N 114°33′5″E,[4]
McGuire Nuclear Station,2,2,200, United States,35°25′57″N 80°56′54″W, 
Maanshan Nuclear Power Plant,2,1,841, Taiwan,21°57′29″N 120°45′6″E,[3]
Millstone Nuclear Power Plant,2,2,102[note 20], United States,41°18′43″N 72°10′07″W, 
Neckarwestheim Nuclear Power Plant,2,1,310[note 21], Germany,49°02′30″N 09°10′30″E, 
Nine Mile Point Nuclear Generating Station,2,1,764, United States,43°31′15″N 76°24′25″W, 
Ningde Nuclear Power Plant,4,4,072, China,27°02′46″N 120°17′18″E,[4]
Nogent Nuclear Power Plant,2,2,620, France,48°30′55″N 03°31′04″E,[1]
North Anna Nuclear Generating Station,2,1,875, United States,38°03′38″N 77°47′22″W, 
Novovoronezhskaya Nuclear Power Plant,3,1,720[note 22], Russia,51°16′30″N 39°12′00″E, 
Oconee Nuclear Generating Station,3,2,538, United States,34°47′38″N 82°53′53″W, 
Ōi Nuclear Power Plant,4,4,494, Japan,35°32′26″N 135°39′07″E,[5]
Olkiluoto Nuclear Power Plant,2,1,740[note 23], Finland,61°14′13″N 21°26′27″E, 
Onagawa Nuclear Power Plant,3,2,089, Japan,38°24′04″N 141°29′59″E,[5]
Oskarshamn Nuclear Power Plant,3,2,511, Sweden,57°24′56″N 16°40′16″E, 
Paks Nuclear Power Plant,4,1,889, Hungary,46°34′21″N 18°51′15″E, 
Palo Verde Nuclear Generating Station,3,4,214, United States,33°23′21″N 112°51′54″W, 
Paluel Nuclear Power Plant,4,5,320, France,49°51′29″N 00°38′08″E,[1]
Penly Nuclear Power Plant,2,2,660, France,49°58′36″N 01°12′43″E,[1]
Peach Bottom Nuclear Generating Station,2,2,234[note 24], United States,39°45′30″N 76°16′05″W, 
Perry Nuclear Generating Station,1,1,240, United States,41°48′03″N 81°08′36″W, 
Philippsburg Nuclear Power Plant,2,1,402[note 25], Germany,49°15′09″N 08°26′11″E, 
Pickering Nuclear Generating Station,6,3,094[note 26], Canada,43°48′42″N 79°03′57″W, 
Point Beach Nuclear Plant,2,1,027, United States,44°16′52″N 87°32′12″W, 
Prairie Island Nuclear Power Plant,2,1,114, United States,44°37′18″N 92°37′59″W, 
Qinshan Nuclear Power Plant,7,4,038, China,30°26′08″N 120°57′23″E,[4][9]
Quad Cities Nuclear Generating Station,2,1,774, United States,41°43′35″N 90°18′36″W, 
Rajasthan Atomic Power Station,6,1,085[note 27], India,24°52′20″N 75°36′50″E, 
Ringhals Nuclear Power Plant,4,3,649, Sweden,57°15′35″N 12°06′39″E, 
Rivne Nuclear Power Plant,4,2,645, Ukraine,51°19′40″N 25°53′30″E, 
Rostov Nuclear Power Plant,3,2,911[note 28], Russia,47°35′58″N 42°22′19″E, 
Saint-Alban Nuclear Power Plant,2,2,670, France,45°24′16″N 04°45′16″E,[1][10]
Saint-Laurent Nuclear Power Plant,2,1,830[note 29], France,47°43′12″N 01°34′39″E,[1]
Saint Lucie Nuclear Power Station,2,1,678, United States,27°20′55″N 80°14′47″W, 
Salem Nuclear Power Plant,2,2,332, United States,39°27′46″N 75°32′08″W, 
Seabrook Station Nuclear Power Plant,1,1,247, United States,42°53′56″N 70°51′03″W, 
Sendai Nuclear Power Plant,2,1,692, Japan,31°50′01″N 130°11′23″E,[5]
Sequoyah Nuclear Generating Station,2,2,278, United States,35°13′35″N 85°05′30″W, 
Shika Nuclear Power Plant,2,1,613, Japan,37°03′40″N 136°43′35″E, 
Shin Kori Nuclear Power Plant,3,3,335[note 30], South Korea,35°19′12″N 129°17′47″E, 
Shin Wolseong Nuclear Power Plant,2,1,960, South Korea,35°43′20″N 129°28′44″E,
Sizewell-B Nuclear Power Station,1,1,188, United Kingdom,52°12′48″N 01°37′07″E, 
Smolensk Nuclear Power Plant,3,2,775, Russia,54°10′09″N 33°14′48″E, 
South Texas Nuclear Generating Station,2,2,560, United States,28°47′44″N 96°02′56″W, 
South Ukraine Nuclear Power Plant,3,2,850, Ukraine,47°49′00″N 31°13′00″E, 
Surry Nuclear Power Plant,2,1,638, United States,37°09′56″N 76°41′52″W, 
Susquehanna Steam Electric Station,2,2,429, United States,41°05′20″N 76°08′56″W, 
Takahama Nuclear Power Plant,4,3,220, Japan,35°31′20″N 135°30′17″E,[5]
Tarapur Atomic Power Station,4,1,280, India,19°49′40″N 72°39′40″E, 
Temelin Nuclear Power Station,2,1,926, Czech Republic,49°10′48″N 14°22′34″E, 
Tianwan Nuclear Power Plant,2,1,980[note 31], China,34°41′13″N 119°27′35″E,[4][11]
Tihange Nuclear Power Station,3,3,016, Belgium,50°32′05″N 05°16′21″E, 
Tokai Nuclear Power Plant,1,1,060[note 32], Japan,36°27′59″N 140°36′24″E,[5]
Tomari Nuclear Power Plant,3,1,966, Japan,43°02′10″N 140°30′45″E,[5]
Torness Nuclear Power Station,2,1,205, United Kingdom,55°58′05″N 02°24′33″W, 
Tricastin Nuclear Power Center,4,3,660, France,44°19′47″N 04°43′56″E,[1]
Trillo Nuclear Power Plant,1,1,003, Spain,40°42′04″N 02°37′19″W, 
Tsuruga Nuclear Power Plant,1,1,108[note 33], Japan,35°40′22″N 136°04′38″E,[5]
Turkey Point Nuclear Generating Station,2,1,386, United States,25°26′03″N 80°19′50″W, 
Vandellòs Nuclear Power Station,1,1,045[note 34], Spain,40°57′05″N 00°52′00″E, 
Vogtle Electric Generating Plant,2,2,302[note 35], United States,33°08′35″N 81°45′57″W, 
Waterford Nuclear Generating Station,1,1,168, United States,29°59′43″N 90°28′16″W, 
Watts Bar Nuclear Generating Station,1,1,123[note 36], United States,35°36′10″N 84°47′22″W, 
Wolf Creek Generating Station,1,1,160, United States,38°14′20″N 95°41′20″W, 
Wolseong Nuclear Power Plant,4,2,722, South Korea,35°42′40″N 129°28′30″E, 
Yangjiang Nuclear Power Plant,3,3,000[note 37], China,21°42′35″N 112°15′38″E, 
Zaporizhzhia Nuclear Power Plant,6,5,700, Ukraine,47°30′44″N 34°35′09″E, 
Under construction[edit]

The Lungmen Nuclear Power Plant under construction (halted until 2017)
This table lists stations under construction or operational stations with under-construction reactors and current net capacity under 1,000 MW. Planned connection column indicate connection of first reactor, not thus whole capacity.

Power station,Planned Capacity (MW),Construction start,Planned connection,Country,Location
Akkuyu Nuclear Power Plant,4,800,2015,2022, Turkey,38°08′40″N 33°32′28″E
Angra Nuclear Power Plant III,1,405,2010,2018, Brazil,23°00′30″S 44°28′26″W
Barakah Nuclear Power Plant,4,035,2012,2017, UAE,23°59′6″N 52°17′1″E
Belarusian Nuclear Power Plant,2,218,2012,2019, Belarus,54°45′43″N 26°7′12″E
Changjiang Nuclear Power Plant,1,220[note 38],2010,2016, China,19°25′23″N 108°48′45″E
Chashma Nuclear Power Complex,1,230[note 39],2011,2016, Pakistan,32°23′25″N 71°27′45″E
Haiyang Nuclear Power Plant,2,000,2009,2016, China,36°42′33″N 121°22′54″E
Hanhikivi Nuclear Power Plant,1,200,2016,2024, Finland,64°31′40″N 24°15′56″E
Kakrapar-3,1,664[note 40],2010,2016, India,21°14′19″N 73°21′00″E
Karachi Nuclear Power Complex,2,150[note 41],2013,2019, Pakistan,24°50′49.8″N 66°47′17.7″E
Leningrad Nuclear Power Plant II,2,170,2008,2017, Russia,59°49′50″N 29°3′26″E
Mochovce Nuclear Power Plant,1,654[note 42],1987,2017, Slovakia,48°15′50″N 18°27′25″E
Novovoronezh Nuclear Power Plant II,2,228,2008,2016, Russia,59°49′50″N 29°3′26″E
Ōma Nuclear Power Plant,1,325,2010,2022, Japan,41°30′35″N 140°54′37″E
Shimane Nuclear Power Plant[5],2,114[note 43],2007,2016, Japan,35°32′18″N 132°59′57″E
Sanmen Nuclear Power Station,2,000,2009,2017, China,29°06′04″N 121°38′23″E
Shin Hanul Nuclear Power Plant,2,680,2012,2017, South Korea,37°05′34″N 129°23′01″E
Taishan Nuclear Power Plant,3,400,2009,2017, China,21°54′34″N 112°58′45″E
Virgil C. Summer Nuclear Power Plant,2,088[note 44],2013,2019, USA,34°17′55″N 81°18′53″W
Shut down[edit]

The site of former Greifswald Nuclear Power Plant
This table lists stations that are permanently shut down and had net capacity over 1,000 MW. Stations with both operational and permanently shut-down reactors and current capacity under 1,000 MW (but in the past over 1,000 MW) are also listed.

Power station,Past capacity (MW),Country,Location
Barsebäck Nuclear Power Plant,1,200, Sweden,55°44′40″N 12°55′15″E
Biblis Nuclear Power Plant,2,407, Germany,49°42′36″N 08°24′55″E
Bohunice Nuclear Power Plant,1,760[note 45], Slovakia,48°29′40″N 17°40′55″E
Chernobyl Nuclear Power Plant,3,515, Ukraine,51°23′22″N 30°05′57″E
Fukushima Daiichi Nuclear Power Plant,4,546, Japan,37°25′17″N 141°01′57″E
Grafenrheinfeld Nuclear Power Plant,1,275, Germany,49°59′02″N 10°11′05″E
Greifswald Nuclear Power Plant,2,040, Germany,54°08′26″N 13°39′52″E
Ignalina Nuclear Power Plant,2,370, Lithuania,55°36′16″N 26°33′36″E
Krümmel Nuclear Power Plant,1,346, Germany,53°24′36″N 10°24′32″E
Mihama Nuclear Power Plant[5],1,570[note 46], Japan,35°42′09″N 135°57′48″E
Mülheim-Kärlich Nuclear Power Plant,1,219, Germany,50°24′29″N 07°29′24″E
Three Mile Island Nuclear Generating Station,1,685[note 47], United States,40°09′14″N 76°43′29″W
San Onofre Nuclear Generating Station,2,586[note 48], United States,33°22′08″N 117°33′18″W
Superphénix,1,200, France,45°45′30″N 05°28′20″E
Trojan Nuclear Power Plant,1,095, United States,46°02′18″N 122°53′06″W
Unterweser Nuclear Power Plant,1,345, Germany,53°25′40″N 08°28′49″E
Zion Nuclear Power Station,2,080, United States,42°26′47″N 87°48′11″W
